user_id,username,tweet,retweet_count,mention_count,follower_count,verified,bot_label,location,created_at,hashtags,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days
975248,sarahwatson,Star almost fine prevent key step threat television her citizen break whom.,81,0,7844,0,0,Jonesville,2022-12-05 20:44:16,everything give,75,11,2,1,176
445071,manningrebecca,Physical involve similar director leader set far wear factor spend out popular.,71,3,4182,0,1,Loganmouth,2021-02-23 10:53:57,himself,79,14,1,1,826
162555,brandondrake,Scientist scene become change condition product rate white method.,71,1,2230,0,1,West Ryanfort,2020-07-02 21:39:40,task,66,12,1,1,1062
700151,cervantesleah,Tough region pass nor sort Republican again increase growth data though.,57,5,1120,0,0,Woodchester,2021-08-09 01:57:16,,72,13,0,0,660
596289,qnorman,Computer by project artist impact break number student.,99,1,225,1,1,Buckview,2020-08-03 06:13:24,,55,7,0,0,1031
713064,meadowsmichael,Address effect quality radio food career western rise today rather bed.,86,3,9114,0,1,East Sheila,2021-11-20 12:29:58,buy research option,71,14,3,1,556
265775,taylorsara,Institution sure teach check area discover down anything worry method.,28,4,194,1,0,Jamesland,2020-02-14 03:10:42,,70,10,0,0,1202
446708,david64,Method man manager community surface mean forget reflect section career.,58,0,7723,1,1,New Ashley,2021-07-04 19:14:16,seek upon,72,7,2,1,695
123595,jwinters,Task sign usually anything watch health nature per common environmental attention word.,34,2,3898,1,1,South Diane,2020-04-15 11:07:58,leave enter,87,8,2,1,1140
604212,cody87,Usually security near source president exactly nice since box agree.,37,2,5368,1,1,West Jennifer,2023-03-16 09:13:05,room win myself,68,6,3,1,75
868723,devin88,When serious close management language whatever soldier.,4,3,9940,0,1,Curtismouth,2022-09-15 22:37:28,find head if question,56,7,4,1,257
654767,xbrooks,These serious world group per college help edge music.,57,4,7005,0,1,Rebekahbury,2023-04-07 23:18:22,,54,7,0,0,53
890737,michaelbaker,Dark war nor customer always building land.,93,4,9784,1,0,Davidchester,2020-10-05 15:52:59,environment,43,12,1,1,967
655941,elizabethbrown,Agent tonight his technology bank camera.,8,0,7889,0,1,Lewisshire,2020-08-12 01:59:23,meet,41,14,1,1,1022
632393,thomaswall,Million talk rather wish indicate spring treatment than sometimes guess.,30,1,3370,0,0,West Joanne,2021-02-24 06:14:23,film clearly,72,10,2,1,826
884365,acurtis,Spend their fact myself amount trial late add hit mother dog.,37,0,8427,1,0,Bryanbury,2021-06-08 11:24:04,,61,7,0,0,721
823120,rebekaheverett,Cold look serious lot nation total after mention thing maintain subject.,74,2,5051,1,1,Gloverborough,2022-02-13 11:55:15,care water,72,14,2,1,471
552971,matthew95,Significant financial skill finally prepare stop name truth hit.,21,5,3898,0,0,Klineland,2022-07-02 03:40:45,up move once could,64,9,4,1,333
433484,michaeldiaz,Compare live large moment city thus toward.,62,3,7586,0,1,West Edward,2022-03-20 20:42:21,health item move policy,43,11,4,1,436
393090,agarcia,Edge American public threat past ago able.,58,4,3745,1,1,Lesterborough,2023-01-17 14:59:55,inside another prepare cold,42,7,4,1,133
488569,darrengomez,Most page change most none past range.,90,5,987,1,1,Stantonbury,2021-09-25 21:11:35,page successful real increase,38,11,4,1,612
664797,steven31,Series where sure recently bring kid professor type raise value.,20,3,4248,0,1,Kimberlyhaven,2021-09-14 09:42:55,cause,64,8,1,1,623
209150,margaretobrien,Degree hit fill he travel pressure first keep of.,56,3,6272,0,1,Coxport,2022-12-17 23:17:01,read fund two great,49,14,4,1,164
625311,ythompson,Relate as mean street Mrs theory just after stop.,0,5,7444,1,0,Port Mary,2022-10-24 16:47:31,blue cold force federal pay,49,9,5,1,218
261949,otaylor,Serious next identify series very see step read reach price stay nice suggest.,98,4,3267,1,1,West Melissaton,2020-09-04 12:40:40,open prove well,78,7,3,1,998
975759,arthurwallace,Hundred pay read fact responsibility popular interest lead development meet half.,55,4,7220,1,0,New Stephanieville,2020-05-27 06:59:40,conference cover,81,13,2,1,1099
812820,rcharles,About edge case protect on under after member deep organization.,76,2,5312,1,0,East Juan,2021-06-25 09:21:15,order,64,8,1,1,704
175102,helenthompson,Democrat add she degree quite think partner road manage camera score among.,92,5,5758,0,1,Luistown,2022-01-05 04:57:01,site community usually apply,75,13,4,1,511
251720,deanlarry,Mrs back course magazine decision magazine onto pay education eight including.,5,3,2283,1,0,Danielton,2020-04-16 04:35:57,hit unit dog,78,9,3,1,1140
105124,vsilva,Page instead night professor thing ability identify there.,17,3,6652,0,0,Lake Baileytown,2022-12-09 10:04:28,,58,6,0,0,172
430675,manndarrell,Over entire conference design today generation since hard remain here recent.,28,5,2120,0,0,Judithview,2020-04-30 13:35:55,reason,77,11,1,1,1125
783601,jpalmer,Own nation natural hold story whose job big win wife.,85,3,7910,1,0,West Johnfort,2022-10-24 09:18:13,laugh service,53,7,2,1,218
489080,eduardowalton,During industry black so evening yard thus painting will product.,52,5,9599,0,1,New Robinborough,2021-01-01 05:05:27,ability way,65,13,2,1,880
375266,ashleylong,Region modern finally suffer always heart service economy size go practice they.,83,3,977,0,1,North Hannahport,2021-10-31 10:01:21,around leader today,80,10,3,1,576
425989,sdavis,Appear task quite door always rule simple science wind report official.,28,4,1984,1,0,East Jose,2020-10-04 00:49:21,bag high letter make,71,6,4,1,969
911306,ydorsey,Too item study Congress can scene.,8,3,9401,1,1,Perezland,2020-12-28 17:14:08,,34,7,0,0,883
786471,aliciaswanson,Unit which find next data no until turn realize its.,0,2,3521,1,0,West Stevenberg,2020-03-26 01:55:41,nothing,52,13,1,1,1161
541230,andrew68,Ok own career similar serious poor together maybe risk carry sea themselves employee.,89,2,6498,1,0,New Matthew,2020-06-16 03:59:18,over expect give,85,8,3,1,1079
979072,edwardlee,Investment experience generation Congress little system yet none collection suddenly federal learn.,35,1,6757,0,0,Jamesstad,2021-12-04 16:55:01,baby next school real raise,99,9,5,1,542
863236,tbest,Mission central idea full live reason.,86,3,8534,0,0,Port Heatherbury,2021-08-02 17:47:57,,38,5,0,0,666
958231,gomezcasey,Father teach conference near play of.,39,5,842,0,1,Jeffreyview,2022-06-26 15:54:46,middle person,37,10,2,1,338
290093,gharrell,Toward Democrat later begin tax near economy campaign everyone million throw.,86,2,8708,1,1,Lake Anitamouth,2022-05-04 08:08:11,yourself these lot pay beyond,77,8,5,1,391
904320,jeremiahriddle,Let must but consider two fact fall cell short buy lawyer.,43,0,5186,1,0,West Shannonside,2022-02-17 00:24:08,price official glass guy rock,58,14,5,1,468
918228,paynenancy,However guy watch serve home agree stay truth the majority suggest opportunity bed.,89,5,4960,0,0,South Arthur,2020-12-09 19:22:14,hour director,83,10,2,1,902
556584,kadams,Recognize democratic quite ask could why see tonight fill.,44,4,6622,0,0,New Juliestad,2022-06-23 10:11:47,watch fine we various,58,6,4,1,341
657236,imcdonald,Wife simply may ground fish field quite who.,45,5,91,1,0,Port Olivia,2021-04-29 03:55:58,fill,44,9,1,1,762
186382,cabreraannette,Investment discuss it offer firm hard employee.,91,3,400,0,1,Lake Erik,2021-09-24 06:55:05,,47,14,0,0,614
834207,nicholascampbell,Stop direction rule of both minute after camera tough.,97,3,8861,0,0,Floydland,2021-12-15 04:42:22,avoid,54,16,1,1,532
705093,lisadavid,Central school only case candidate me plant hard western.,30,2,766,0,1,North Joshua,2022-04-04 08:39:35,,57,9,0,0,421
402143,davilalatasha,Candidate general whatever some system responsibility wrong student officer.,25,1,6675,0,0,Bushhaven,2022-11-03 17:39:28,forget table stay professor listen,76,13,5,1,208
540118,aaron59,Teach benefit television peace write man space arm religious middle.,92,0,1743,0,0,Cliffordport,2023-05-24 17:22:51,sing maybe,68,7,2,1,6
105179,williamsheidi,Small group forward task today father probably growth through clearly camera couple resource various.,3,0,9348,1,1,West Bradley,2021-12-03 10:13:34,expert small next,101,13,3,1,543
868659,marshallmark,Skill area hundred since know too.,56,2,7622,0,1,South Linda,2023-05-17 12:16:19,provide how,34,12,2,1,13
694805,dennis22,Admit make middle same already end back once medical her top direction maybe statement.,35,3,3162,1,0,Rachaelchester,2021-09-01 16:05:08,organization,87,8,1,1,636
121978,angelapotter,Thing have it general page interest.,9,1,8542,1,1,New Brandonview,2021-05-22 06:54:34,whose herself thousand individual require,36,12,5,1,739
633215,lchang,Foreign one eat bill parent bring grow term sit off.,34,3,8483,0,1,East Ashleymouth,2021-06-18 11:45:33,place cultural me,52,6,3,1,711
975822,stacymarshall,Large majority stop become help loss at whom easy.,65,3,8527,1,0,New Paul,2022-09-22 23:26:28,color not herself threat thousand,50,13,5,1,250
271872,dakotahunter,Him name military assume democratic recent enter growth way country.,39,4,4814,1,1,East Sara,2022-08-18 16:07:13,sport and,68,12,2,1,285
433950,jeremiah74,Culture still affect game Congress hope book company affect magazine sport military everybody.,92,5,5995,0,1,Tinashire,2022-11-17 03:07:08,,94,10,0,0,195
593803,bergrobin,Weight enjoy available Congress real our woman scientist can single generation direction.,91,1,9921,0,1,Leachborough,2023-01-11 12:12:48,audience where hold step cold,89,9,5,1,139
236318,barbara59,Least goal but even TV soon say cultural program answer nearly.,34,5,1748,1,0,West Kennethchester,2020-03-30 06:47:06,hear wonder know now,63,9,4,1,1157
622010,torresjennifer,See artist feel institution bar south measure.,52,2,8353,1,0,New Oscar,2022-08-19 13:09:18,find job become thought everyone,46,14,5,1,284
443899,susanking,Network television should drive throw name focus tend today watch.,19,4,1966,1,1,Lake Cynthiaside,2021-07-18 20:30:47,kind capital manage so section,66,9,5,1,681
313627,michelle99,Walk through minute choice during forget local.,97,0,732,1,0,Smithborough,2021-09-08 13:18:07,day attorney,47,10,2,1,629
587424,alejandrosimpson,Garden subject may exist why weight worker amount traditional relationship her.,20,5,8483,0,1,Fordside,2021-10-19 07:45:09,,79,16,0,0,589
187246,ucannon,Wish difficult our compare color heavy big out artist.,87,3,1918,1,1,Port Denise,2021-02-01 00:41:16,practice,54,7,1,1,849
644545,chaseallen,Hair industry similar statement nor eight tree table page.,51,0,2540,0,0,Christopherport,2020-04-18 15:21:02,run along where behavior bring,58,10,5,1,1137
986495,perrydavid,Indeed them green hope item few anything.,65,1,7712,0,0,Andersonport,2021-02-14 12:55:29,attorney mention doctor,41,10,3,1,835
763466,mmartinez,Television happy computer month no spend eye style nearly.,73,0,4440,0,1,New Paulfurt,2020-10-07 06:13:53,image quality cost almost ten,58,9,5,1,966
995441,johnjackson,Cut relate save word use kid through pretty.,51,5,823,1,1,Amyville,2023-02-02 12:56:50,make mouth,44,11,2,1,117
320912,hnielsen,Employee wide exactly issue civil late group throughout agreement about.,11,2,2197,0,1,Morgantown,2020-07-01 14:45:35,change,72,8,1,1,1063
219810,fbaker,Notice Republican trial avoid draw four night response serious year course hotel.,92,1,4189,1,1,West Jamesburgh,2020-06-08 09:54:04,relationship no television,81,6,3,1,1086
654970,stacybrown,Car everything laugh home ability white significant ten smile news in.,25,2,7442,1,0,Port Philip,2022-04-04 02:34:43,,70,10,0,0,422
227157,sarah33,Can involve in condition country cover thank whom within everybody.,6,4,9362,0,1,New Norman,2021-09-13 18:30:43,war someone player,67,7,3,1,624
925810,trandonald,Answer safe mission medical pick we close board.,10,1,6976,0,0,Lake Tonyafurt,2021-12-06 15:25:52,that girl ahead help,48,10,4,1,540
565871,lmcclain,Know just represent more political phone floor decision poor else study.,14,1,8902,1,1,North Matthew,2020-02-04 22:32:16,now,72,8,1,1,1211
759323,sarawatson,Positive eye personal west author town risk plan conference option marriage.,76,0,7346,0,1,Laurachester,2021-02-20 00:41:26,will,76,10,1,1,830
891728,sanchezerik,Film behavior campaign house member it imagine recently single.,72,0,3183,1,1,Macdonaldport,2023-05-15 02:30:35,available relationship put,63,11,3,1,16
266330,gary25,By peace form anything rise nearly several recent beat suddenly admit.,35,3,9422,1,1,Gilmoreborough,2020-07-18 07:17:30,since,70,6,1,1,1047
292191,derekharris,Seek simply probably apply themselves good vote end.,89,3,1800,0,1,Bakerport,2021-02-20 15:53:01,but,52,11,1,1,829
816187,pwelch,Account indicate attorney least all individual cover purpose nation surface.,89,2,5759,0,0,Perezbury,2023-03-31 08:06:23,itself set throw care,76,6,4,1,60
620605,burnettcrystal,Do media focus large inside better station anything more.,2,2,9113,1,1,Kathrynborough,2023-02-24 19:37:52,accept consumer field cup Mr,57,14,5,1,95
853439,philipjohnson,Knowledge nothing protect artist they bring front weight.,100,2,8759,1,0,Christophershire,2021-01-13 09:01:15,serve same main,57,13,3,1,867
898158,lguerrero,East our weight prepare she environmental likely its million together who interest good.,44,3,6315,0,0,Lake Ernest,2021-06-07 05:35:38,detail policy among seat risk,88,9,5,1,723
400856,cbaker,Less product company represent entire report.,18,1,9649,0,1,Jessicaland,2021-03-16 06:21:51,candidate protect expert join who,45,6,5,1,806
251579,kramirez,Upon group occur here market keep alone.,73,1,8997,0,1,North Paul,2023-02-08 16:20:41,my cut,40,8,2,1,111
992703,bryantmichael,Big first dream doctor skin above onto none.,86,5,8550,1,1,Port Jaimechester,2020-07-02 06:17:19,apply both,44,13,2,1,1063
210091,jessicabell,Road yes measure government church sit ball focus.,70,3,6598,1,1,East Jacquelineborough,2021-04-29 10:29:05,local win film share,50,11,4,1,761
529925,wilkinsnancy,Four next out risk senior probably season boy table example tonight.,64,4,6411,0,0,Joshuaville,2022-04-23 15:13:59,,68,12,0,0,402
414325,christian92,Collection beat challenge ten quickly about would involve letter suddenly American small worry.,65,3,2560,0,0,Port Austinshire,2020-07-19 17:48:14,expect center on,95,11,3,1,1045
588159,fmora,During still section fall away car determine laugh center American.,6,5,2427,1,0,Saraland,2021-07-11 13:33:10,,67,5,0,0,688
866255,christopher69,Cut ahead toward set less answer stock senior view music say best summer.,92,1,6811,1,1,North Karabury,2023-05-25 23:27:06,other hold interview attention,73,13,4,1,5
474538,rfriedman,Effort fill top staff strong author.,57,5,7495,1,1,Mccoyfurt,2022-12-26 00:06:51,test station return loss,36,9,4,1,156
625709,briannajohnson,Him level listen fill keep how firm third similar loss figure.,39,2,2415,1,1,North Troy,2020-08-05 03:17:19,than,62,14,1,1,1029
929996,esmith,Focus security former enter account sister rise end low place view.,83,3,7270,0,0,Elizabethbury,2022-03-01 22:59:55,,67,6,0,0,455
621277,jamesherring,Attack option rock with more city cold claim visit some story answer thousand.,41,0,4225,0,0,East Christopher,2023-01-15 14:16:05,point speech matter out,78,12,4,1,135
414075,shenderson,Reveal new spend many eight condition somebody film others foreign.,55,5,3614,1,1,Juliafort,2020-07-16 13:28:28,wind although,67,10,2,1,1048
992789,webersonya,Indeed record may industry everyone sometimes above.,81,4,1635,1,0,West Jennifer,2020-07-07 10:51:48,,52,10,0,0,1057
415672,qjones,Area third imagine some voice style lot whether store interest although.,76,1,4522,0,0,New Nicole,2020-04-18 04:49:17,whose push,72,6,2,1,1138
528303,jerryjohnson,Stop figure if show data want stay order east few half very center.,16,3,6963,0,1,Ryanmouth,2020-10-28 04:05:12,,67,12,0,0,945
201440,alexandercarr,Guess center to likely number ten should able throw decade.,18,4,6403,1,0,West Robert,2022-08-12 15:58:58,soldier finish issue garden try,59,13,5,1,291
893920,sabrinaturner,Total research low political little energy world ask.,9,3,8380,0,1,Ramirezton,2020-07-22 23:30:02,thing inside,53,13,2,1,1042
461665,jholmes,Up someone serve strong politics not story town possible.,25,3,5069,0,1,Port Kayla,2020-12-06 10:09:45,yeah she stand,57,7,3,1,905
191663,beverlybenson,History bit past within eight center season carry get it without director.,95,1,2891,0,0,North Margaret,2020-05-20 04:45:09,situation eight newspaper foot admit,74,13,5,1,1106
176832,tina84,Future me dinner time number behind.,43,3,8483,0,1,West Kelly,2022-07-19 04:59:01,air,36,6,1,1,316
308851,stephen66,Itself gas military worker paper mention evening official owner choice little garden listen.,88,2,4470,1,0,New Denise,2023-03-21 10:32:58,evidence fly,92,9,2,1,70
847924,friedmanmario,Policy total people structure as available green of meeting want your word laugh help.,77,4,8561,1,1,Port Marychester,2022-02-04 19:18:53,hour staff throw subject,86,13,4,1,480
175139,zmcguire,Eat drug wish page new which month have.,43,1,8950,0,0,Lake Andrea,2021-09-10 21:29:01,development,40,8,1,1,627
843797,jacksonshelby,Develop economic education best charge within put unit.,70,1,4062,1,0,Ashleefurt,2020-11-02 03:21:38,away phone prepare,55,13,3,1,940
874451,susanblack,Certain visit world peace allow game same check store.,78,2,4405,1,1,Toddville,2021-09-26 23:35:48,war hit institution,54,10,3,1,611
226267,ujohnson,Others father thought ok analysis eye total difference throw from defense.,55,2,5768,1,1,West Danielton,2021-08-09 06:18:59,create surface present,74,8,3,1,660
114999,justincurtis,Away tax minute whether different sit let.,7,2,4304,0,0,New Justin,2022-08-04 14:58:17,five model food but,42,12,4,1,299
903576,jburgess,Talk capital body finally away news arm resource new cell she everything bar.,5,1,7430,1,1,Watsonbury,2021-02-14 09:33:21,move born,77,8,2,1,835
663374,masoncarl,Him and help bank visit culture amount maybe.,10,3,4748,1,0,New Jose,2021-04-02 19:54:03,,45,9,0,0,788
375947,catherinecoleman,Value third statement who stock quickly list certainly floor operation.,3,5,5111,1,0,North Brandi,2021-05-29 04:53:47,scene method summer perhaps,71,16,4,1,732
759961,lmatthews,Shoulder possible property third remain agree follow assume professor analysis.,69,4,4304,0,0,Timothymouth,2020-10-28 17:36:02,us season form car push,79,9,5,1,944
827904,rbrown,Ever art usually deep student cell range project product listen family.,73,0,2816,0,0,New Nicholas,2022-10-02 18:07:32,,71,6,0,0,240
